Person_ID,Name,Age,Gender,Criminal_History,Case_Number,Crime_Description,Crime_Type,IUCR,FBI_Code,Domestic,Arrested,Crime_Location,Block,Beat,District,Ward,Community_Area,Latitude,Longitude,X_Coordinate,Y_Coordinate,Date_of_Crime,Year,Updated_On,Social_Media_Activity,Facial_Recognition_Match
P00418,Carlos Gutierrez,96,Other,No,C2019-XYZ00001,Assault reported near Wallace Drives,Assault,1300,102,No,Yes,"Koramangala, Bangalore",7143 Block of Jason Turnpike,146,26,38,62,12.9352,77.6146,179472,456455,2023-07-10,2023,2023-08-23,Inactive,63.73
P00952,Billy Moore,84,Other,No,C2020-XYZ00002,Assault reported near Daniel Drive,Assault,1300,102,Yes,No,"Andheri East, Mumbai",8832 Block of Drew Cape,538,1,16,76,19.1197,72.8696,106308,717818,2025-08-10,2025,2025-09-18,Active,72.68
P00654,Angel Ray,106,Male,Yes,C2019-XYZ00003,Theft reported near Donna Harbors,Theft,6100,107,No,No,"Banjara Hills, Hyderabad",3543 Block of Pruitt Island,679,27,42,57,17.4239,78.4291,354651,343490,2022-02-07,2022,2022-03-01,Inactive,97.96
P00701,Jennifer Thomas,107,Female,No,C2020-XYZ00004,Assault reported near Lauren Land,Assault,1300,102,Yes,Yes,"Koramangala, Bangalore",1312 Block of David Gardens,519,22,32,72,12.9352,77.6146,573397,513166,2022-05-22,2022,2022-09-08,Suspicious,88.53
P00804,Melissa Hunt,70,Other,No,C2020-XYZ00005,Fraud reported near Phillips Islands,Fraud,2100,103,No,Yes,"Koramangala, Bangalore",2302 Block of John Land,473,1,27,44,12.9352,77.6146,215053,143980,2022-02-11,2022,2022-07-18,Inactive,20.4
P00810,Michael Rogers,49,Female,Yes,C2020-XYZ00006,Drug Offense reported near Judy Extension,Drug Offense,4100,105,No,No,"T. Nagar, Chennai",7534 Block of Joseph Port,721,16,14,13,13.0424,80.2336,701302,344536,2022-10-03,2022,2023-03-23,Active,45.8
P00643,Laura Huerta,82,Other,No,C2020-XYZ00007,Cybercrime reported near Michael Divide,Cybercrime,3100,104,Yes,Yes,"Salt Lake, Kolkata",9958 Block of Garcia Mountain,496,8,8,53,22.585,88.4154,485888,776622,2023-11-04,2023,2024-02-15,Active,19.64
P00999,Valerie Howell,44,Female,Yes,C2020-XYZ00008,Fraud reported near Lisa Villages,Fraud,2100,103,No,No,"T. Nagar, Chennai",3521 Block of Murray Extension,438,26,33,73,13.0424,80.2336,570872,565283,2021-03-20,2021,2021-08-14,Inactive,45.55
P00407,Eric Booth,94,Female,No,C2023-XYZ00009,Homicide reported near Johnson Shore,Homicide,5100,106,No,Yes,"Koramangala, Bangalore",1756 Block of Miller Fall,713,5,11,18,12.9352,77.6146,135480,294576,2020-12-30,2020,2021-01-31,Inactive,72.01
P00919,Daniel Thompson,67,Male,Yes,C2023-XYZ00010,Cybercrime reported near Martin Cliff,Cybercrime,3100,104,No,No,"Salt Lake, Kolkata",5438 Block of Lucas Green,152,5,39,40,22.585,88.4154,572924,347029,2023-06-01,2023,2023-11-06,Inactive,59.16
P00450,James Hansen,14,Female,Yes,C2019-XYZ00011,Homicide reported near Justin Springs,Homicide,5100,106,No,Yes,"Sector 62, Noida",2161 Block of Robert Haven,970,23,48,52,28.6102,77.367,300086,342866,2021-04-19,2021,2021-09-11,Inactive,55.6
P00243,Brad Howard,89,Other,Yes,C2024-XYZ00012,Robbery reported near Justin Radial,Robbery,1100,101,Yes,No,"T. Nagar, Chennai",8245 Block of Brown Path,753,19,24,16,13.0424,80.2336,309394,260379,2024-06-27,2024,2024-08-11,Suspicious,97.77
P00192,Jason Barnes,39,Male,Yes,C2024-XYZ00013,Cybercrime reported near Peters Cape,Cybercrime,3100,104,Yes,Yes,"Sector 62, Noida",4541 Block of Hays Shoals,904,7,6,2,28.6102,77.367,813160,146698,2023-05-09,2023,2023-05-12,Inactive,10.78
P00767,Ryan King,42,Other,No,C2023-XYZ00014,Homicide reported near Chase Rest,Homicide,5100,106,Yes,No,"T. Nagar, Chennai",6272 Block of Johnson Well,327,18,14,34,13.0424,80.2336,748253,909151,2021-10-16,2021,2022-04-12,Suspicious,46.98
P00724,Andrew Morris,52,Female,No,C2023-XYZ00015,Assault reported near Lee Keys,Assault,1300,102,Yes,Yes,"Salt Lake, Kolkata",6328 Block of Tammy Circle,325,3,5,58,22.585,88.4154,840345,393839,2021-09-08,2021,2021-12-13,Active,97.21
P00493,Craig Graham,78,Other,No,C2024-XYZ00016,Assault reported near Griffin Ports,Assault,1300,102,No,No,"Sector 62, Noida",1815 Block of Alexis Gateway,442,13,43,47,28.6102,77.367,907082,668436,2022-06-17,2022,2022-08-09,Inactive,61.36
P00833,Robert Butler,54,Male,Yes,C2022-XYZ00017,Robbery reported near Adam Isle,Robbery,1100,101,Yes,No,"T. Nagar, Chennai",1542 Block of Wilson Circles,652,25,31,17,13.0424,80.2336,648925,567780,2023-12-12,2023,2024-01-12,Suspicious,79.2
P00578,Fernando Keith,40,Female,No,C2023-XYZ00018,Fraud reported near Lane Mills,Fraud,2100,103,No,Yes,"Koramangala, Bangalore",7570 Block of Sherri Crossing,447,9,10,1,12.9352,77.6146,149906,290393,2023-01-14,2023,2023-06-23,Inactive,39.24
P00533,Timothy Ross,24,Male,Yes,C2021-XYZ00019,Cybercrime reported near Delgado Shoal,Cybercrime,3100,104,Yes,No,"Sector 62, Noida",4176 Block of Morris Extension,830,2,34,34,28.6102,77.367,891299,273219,2021-07-23,2021,2021-11-09,Inactive,95.17
P00723,Bailey Cortez,102,Female,No,C2023-XYZ00020,Kidnapping reported near Shaw Radial,Kidnapping,7100,108,Yes,No,"Koramangala, Bangalore",2427 Block of Torres Passage,635,16,31,77,12.9352,77.6146,394719,797910,2023-10-27,2023,2023-12-01,Suspicious,63.33
P00695,Barbara Phillips,87,Male,Yes,C2021-XYZ00021,Cybercrime reported near Amy Drive,Cybercrime,3100,104,No,No,"T. Nagar, Chennai",4270 Block of Williams Dam,423,17,27,63,13.0424,80.2336,584827,590795,2024-02-14,2024,2024-07-16,Suspicious,81.57
